COUNTRY,YEAR,OCCURRENCES
United States,1993,12
United States,1994,32
United States,1995,42
United States,1996,53
United States,1997,10
United States,1999,6
United States,2000,2
United States,2001,26
United States,2003,32
United States,2004,24
United States,2005,4
United States,2006,87
United States,2007,46
United States,2008,9
United States,2009,66
United States,2010,70
United States,2011,444
United States,2012,65
United States,2013,66
United States,2014,53
Uruguay,1884,2
Uruguay,1888,1
Vanuatu,1849,1
Vanuatu,1863,2
Vanuatu,1875,3
Vanuatu,1878,5
Vanuatu,1892,2
Vanuatu,1893,4
Vanuatu,1901,1
Vanuatu,1905,5
Vanuatu,1909,2
Vanuatu,1910,2
Vanuatu,1920,1
Vanuatu,1952,1
Vanuatu,1953,1
Vanuatu,1958,2
Vanuatu,1961,3
Vanuatu,1965,6
Vanuatu,1987,2
Vanuatu,1995,2
Vanuatu,1997,2
Vanuatu,1999,6
Vanuatu,2001,1
Vanuatu,2002,3
Vanuatu,2003,1
Vanuatu,2004,1
Vanuatu,2006,2
Vanuatu,2007,5
Vanuatu,2008,4
Vanuatu,2009,7
Vanuatu,2010,6
Vanuatu,2011,10
Vanuatu,2012,4
Vanuatu,2013,3
Vanuatu,2014,4
Venezuela,1802,2
Venezuela,1812,2
Venezuela,1853,5
Venezuela,1867,3
Venezuela,1868,3
Venezuela,1900,5
Venezuela,1906,9
Venezuela,1916,2
Venezuela,1928,1
Venezuela,1929,6
Venezuela,1932,2
Venezuela,1950,2
Venezuela,1955,2
Venezuela,1961,1
Venezuela,1967,2
Venezuela,1968,2
Venezuela,1979,2
Venezuela,1997,1
Vietnam,1921,1
Vietnam,2006,1
Yemen,1883,1
Yemen,2004,19
